(lat,lon),ris
(-99.53250100835477, 80.00710949962892),420
(166.6182326204996, -48.04077195277364),420
(122.19901385284717, -0.23370102080968352),420
(139.48067390027492, 42.161303802656256),420
(123.65936991708435, -1.950164577780888),420
(-67.91330634096147, 69.68208283748082),1337
(152.10203405017515, -10.395098426400565),420
(11.294571785261965, 64.6840315845969),0
(11.09306176169658, 54.50509866662074),69
(-97.39749731221914, 74.57957568056328),69
(4.997325247851492, 50.32735081299998),69
(-64.53129025151954, 18.481895741310986),1337
(166.91241752607, -45.23921285748414),0
(-74.07955984171437, -44.84844135359547),69
(-68.39134328847993, 44.32076337673942),69
(126.35966956523428, 36.54724590525529),69
(-73.90743241300396, 45.51265272208244),420
(-154.13658014070225, 56.55024837507121),0
(-147.88662435049596, -76.61406338925153),420
(155.5698893828081, -7.349359001921764),1337
(126.68505955175067, 3.9222826471018624),0
(-79.03723494804967, 52.11093938000605),1337
(10.305564882573703, 42.35060743321658),420
(110.49714072594674, 21.168871891580228),0
(54.236932716487935, 24.30415687047109),0
(-178.30381484370176, 28.387656715539414),69
(113.01924423223424, -25.65195435595734),1337
(-93.10937757835435, 61.91170741402391),1337
(42.95991869530212, 11.3842180596534),0
(-110.58950105090994, 27.31859173095039),420
(-49.327465961103236, -1.8014477618334912),420
(-147.8918229878465, 60.02186591185667),1337
(73.0450355205117, 6.435332015528101),69
(-6.003917752418587, 57.06366026786667),0
(-58.22236470296946, 2.16120961871352),69
(-89.66931172221909, -1.3710743061716868),69
(-72.09637288910582, 21.879924112026593),69
(-131.71709992712934, 55.35165550110272),0
(21.350404442388392, 60.204248344069285),69
(-56.14186489633168, -63.44800864017104),0
(-127.5877549355841, 52.24071831406629),1337
(-48.26274660291191, -0.8837759372684983),1337
(-64.67144277199353, 18.398747499180306),420
(32.82338974322239, 46.050880375692245),0
(-86.73037770499965, 69.98877324656928),0
(113.23694083589744, 21.92384118542084),1337
(73.47350539913405, 3.9394032376670527),69
(-89.29671616920064, 29.942608339511448),1337
(-73.2651356442851, -54.07617543241793),0
(-67.10618702609216, -55.80708821508938),0
(73.1392352090576, 6.840701280218527),69
(117.28551153069805, 8.269608669728411),0
(138.76238355998845, -8.396245412720573),1337
(-81.44226921403546, 24.660385604645807),69
(-159.24157110034187, 54.925215990637426),1337
(24.06382067303118, 39.33176869717583),69
(-59.09656005023029, 4.12202451113243),1337
(76.47071349748309, 40.52026270916202),0
(55.45798608850173, -4.672861179690627),0
(50.348758771936716, 40.45482773358504),420
(16.318037323597075, 43.49468037438792),420
(73.39357203702288, 2.7822919392496566),1337
(150.63575079075338, -9.438862634884357),1337
(-129.59049061168997, 53.03795686406924),1337
(-83.88894525998862, 69.7964647860049),420
(40.98732011072182, -2.1371395713460957),0
(91.86826704026932, 21.535760841268456),1337
(-77.65962964288265, 22.065267080962034),1337
(-128.28963229933302, 52.11908187471186),420
(132.92278690270996, 35.26300707078042),420
(22.272871802964346, 60.24105544496339),0
(-68.90111796535354, 44.29187665672777),69
(-147.97513182302464, 60.129477121343626),0
(104.21226828905985, 0.7263265366842319),420
(-159.29673617824213, 55.76605944472165),69
(-133.25037850397456, 55.817317763305596),1337
(72.9102449865449, 5.981818008700524),1337
(-115.75307051419384, 24.95320472967951),69
(126.25747716558857, 35.57586417173318),420
(130.57137663792727, -11.766894152703046),420
(-59.68775156076715, -52.36702991197959),420
(131.2343685047093, -4.041151274358123),69
(-74.50221356303607, -50.587745222495116),69
(-75.64845858380625, -48.489493503731005),1337
(17.1582404646496, 68.88976384959834),0
(-61.8646561394467, 57.79944579345524),69
(72.93861029730421, 5.4634114430773035),69
(-67.1204228791272, 66.00573697406095),0
(4.902399308291487, 53.13796956850813),69
(72.8677874212056, 2.963980438967722),69
(146.6393870007984, -2.0958182535603758),1337
(-89.06751568632218, 30.253596975138823),1337
(124.21530692261224, 14.006015530857832),420
(-81.0998972704556, 7.558671862159821),1337
(146.2753213077582, -18.27538419215138),1337
(-148.0267812150338, 60.10439396603486),69
(98.1821829641261, 10.147174453795328),69
(-113.80367643502964, 68.5903876218478),0
(166.25228632072503, -10.270408797481073),420
(124.30938838249578, -1.976965213119179),1337
(-128.95524302543083, 53.06226156675492),1337
(-57.57944488123547, -64.45844440312162),69
(93.6918639767359, 14.880606990672606),0
(136.8133785244311, -13.806299588010711),420
(9.050948076347582, 63.62792165700356),0
(124.82930807332372, 38.53869085061246),69
(114.45678731883399, 4.43274151683485),420
(11.228560486304337, 54.440457762575555),420
(-169.10137583208646, -83.2025056756746),420
(20.841311583844476, 70.10545154451835),0
(114.0359125181422, 10.015018107271088),1337
(-67.42520403116829, -66.73709595584023),0
(20.03556035971674, 42.649338096721635),1337
(161.856515836458, -70.24337845483082),1337
(-132.20736236479223, -74.14642018116784),0
(131.6013480429287, -2.6396065435840823),69
(36.984281013489216, 25.460256903470874),69
(83.99186891786175, 21.966204989117664),69
(-169.53813040567707, 16.754867225454802),0
(11.796285349434955, 65.65024317779759),0
(-65.94037906429647, 9.190512990473588),0
(-148.1315846058263, 60.016229291367644),1337
(-131.06191526312082, 54.613665413931194),69
(73.70067328320486, 4.433199854041191),0
(151.86113527793466, 7.349834956957065),420
(-61.21538394039772, 13.029874946438476),420
(-64.62797922774726, 60.658463418106095),0
(-111.71076892555577, 68.25885655760077),420
(16.86682459354842, 68.77511051562529),0
(-140.1967331279023, -8.896567858213306),420
(15.680466050324245, 43.6415782649544),0
(-50.1520337061433, 0.27044065352280994),1337
(124.35332378349968, -15.308408608783784),0
(-114.76423226211082, 18.348300920403553),0
(-108.9804583574216, 25.446690252536243),0
(22.348508888973914, 24.675514124067895),1337
(119.76904954895484, 25.45130148921742),420
(-2.356896196200587, 46.71204658375991),0
(175.02208478758533, -1.5030929588875308),420
(40.38338702561359, 10.648362309004971),420
(-79.91540712867197, 22.96588276192542),1337
(-169.6710208306372, -14.179437901242881),1337
(-123.67141006889419, 49.06761297976446),1337
(-2.905542926474291, -70.29728019773836),1337
(-77.16814452128864, 26.416076751583965),0
(-79.29558096120834, 21.076695836254043),0
(141.0322424031539, 45.27786534153281),69
(55.87579567543953, -4.32409947331918),0
(-60.56120749792805, -51.29203088262866),1337
(144.78893976433287, -40.43373586603989),69
(-61.228169442139105, -51.69132457625733),1337
(-80.48697093887816, 59.47679402451458),1337
(126.38373571873018, 1.2964461701991237),0
(49.884609625678884, -16.949178073441246),0
(-69.65200549774582, 43.83730695352321),1337
(-140.6450848867611, -21.6805554577605),420
(92.28093449910703, 11.5607223874759),1337
(-82.67937073849214, 28.7786162828143),0
(-8.564297174479764, 57.81735576153333),69
(33.736698843344726, 35.04202312761455),0
(6.781150040188797, 62.81384847524622),0
(136.54915779235307, -15.622454810905138),420
(-83.91945560278234, 17.41106973000779),420
(-174.93929768727014, -21.348845652170574),1337
(-116.5370464915942, 70.54821492838396),420
(121.06397115654555, 27.974957931692593),1337
(125.0342682888826, 37.818719037796875),1337
(-0.8159495538460652, 60.770398831458785),0
(73.11696532409718, 2.1960678545880783),0
(-124.89935820708624, 50.20792068026517),69
(166.86458297531334, 11.150114099233528),69
(6.676637834709264, 62.669744941515404),0
(93.10504203917735, 8.234953417602048),69
(93.50518463622696, 8.083954091499061),1337
(125.33199026140498, 6.213326027856347),69
(-16.460875400786456, 20.60796801627697),69
(-169.72993972019495, 52.98381247185492),420
(-111.09732412560818, 26.04032474877142),0
(-4.608221497002393, 53.282605000100645),69
(-6.908240381328002, 62.30867247705242),69
(123.66277883550416, -1.9556159263351145),69
(143.8070072088614, -8.530444984257372),0
(-31.72445426189198, -79.78171436631493),69
(-110.05328618635515, 68.07745601829595),1337
(6.506818140644788, -70.17083589224292),0
(73.10536699371858, 6.892689390414557),420
(10.687324837120784, 79.74833283438481),0
(-134.32844857886622, 55.898854736342315),420
(-45.01213901547447, -1.3284270999026333),420
(16.514529040949373, 43.18358773053391),69
(-86.56218268556717, 16.315010706023518),69
(-78.60194362965885, 60.72008921431508),1337
(-78.56982662101724, 60.7809382906885),0
(168.26159056285783, -17.51863121100647),69
(-61.33788974949407, 15.224562567554525),69
(-82.26431936561376, 9.422024703426805),420
(-148.16837239834027, -14.923379772293112),69
(124.62147118152707, -15.405358740825756),420
(107.83317981258232, 21.01624501062329),420
(179.9893166254102, -16.529805780242867),0
(122.45837444120922, 12.483547475365572),69
(-179.09768312885905, 51.2408935002182),0
(114.24961185504635, 22.24919997487439),420
(-78.34949333515465, 20.547194934879304),69
(133.03947166513979, 36.00246956166872),1337
(121.89540575967004, 30.047384077506276),69
(-81.42187873933952, 25.822925198338126),69
(-87.2626704385582, 18.721878272051896),0
(-87.63912007364824, 13.325098391175182),420
(97.83853101334041, 12.786720727409636),420
(159.5458705272621, -8.427962402222068),420
(-155.22127508721678, 19.932303306021666),69
(149.73066498309814, -22.398758338937075),0
(122.11832376650521, 14.089699032455673),69
(138.44101063782745, 37.9814848753153),1337
(104.79732118097509, -5.75529451407926),1337
(127.45789370714975, -7.537604169433386),69
(119.85986301145223, 10.577828875820654),1337
(-80.21272707497594, 23.107829432012295),69
(-148.11588421598339, 60.322060114554354),0
(-27.3027596588537, 38.79091049220666),0
(-106.55871088946522, 21.656208005258005),420
(25.107258549219246, 36.6683766544642),0
(98.5770173206565, 8.048557726106791),69
(152.6282465291323, -3.125652186394779),1337
(-179.16339711860618, -17.450644365487996),0
(167.20132752369904, -15.601049570465939),420
(-18.364970464951355, 74.63228037538407),69
(100.05791671647366, 9.521261456602605),69
(126.17128726172359, 35.03750389812576),69
(92.2599901745057, 11.550891557411672),420
(-73.93194776408677, -52.001407384581604),0
(93.71612500883364, 14.906801736401865),69
(113.43784411825533, 22.8534618414632),69
(-90.45994303323488, 0.3279663163200453),1337
(128.80480791830215, -3.6813692602926826),420
(-147.83077380981064, 60.264874571006445),0
(9.830554803106585, 43.04034461313693),69
(-67.16251015060458, -67.80238978240848),1337
(-77.75349010938545, 62.57073402891112),69
(-101.60918918315441, 69.21288291873125),69
(-64.6634459945171, 47.80994238949368),69
(14.92614328099159, 68.26464042401471),0
(98.2672246333285, 11.268126692980257),420
(11.588987545941913, 54.0969865078694),420
(171.6012017034477, 7.021922189549517),0
(166.8615013465819, 11.148821438781031),0
(14.378620815758515, 45.00900460004257),0
(126.40224794461625, -3.20073791953469),69
(178.97289238545903, 51.54705690082648),420
(-6.517991515440564, 56.63765120561347),1337
(-19.40506140318865, 82.01930870447167),1337
(107.35006556675803, 20.830698212879433),69
(-16.475285017378713, 19.710251046992276),0
(-61.09569644632042, 8.650208770720683),69
(11.048214650254648, 34.62292926316222),69
(153.43570788878085, -27.036925440889142),0
(-51.845922683997884, 68.6075860536288),69
(-80.74227305658167, 23.200312758106804),420
(72.95279911420556, 6.3444516305109895),0
(158.20721744578924, -8.711640848355866),420
(118.57304111219669, 4.628064733597531),0
(-2.453633626456162, 49.47227162981522),1337
(73.39612208916964, 2.784780063985347),0
(-173.08574651092368, 60.64749410368762),69
(-68.85368339399965, 48.40929327704507),1337
(-72.64211589960497, 63.67948938941008),420
(-150.31360196357986, 59.45860596488422),420
(14.983481190349131, 38.399507085587985),1337
(93.80542040036396, 19.385152668547203),1337
(72.92477420906575, 6.9522462153632745),0
(-106.23533256506292, 21.32620825397286),0
(117.08709629882125, 5.236947431502086),0
(-67.19952823731082, -68.1471321913804),420
(99.82659030080083, 6.380373717115698),420
(23.542218131648855, 37.35310011275559),1337
(-91.81978637343899, 1.3743910229952327),0
(-173.07587750370922, 60.64168386916661),1337
(-61.22065117621441, 13.281649304198112),0
(-81.45103458075022, 64.22883979133015),0
(-147.50998600573874, -15.079718301057442),1337
(14.864998306558213, 45.17962159425187),69
(-152.49205926516305, 58.54647929205672),420
(-67.03876891973802, 44.944765780194594),420
(-43.80297099534739, 59.91285746406724),1337
(-92.5455458618696, 62.41036913751645),420
(-43.434103863722555, 60.0739461461597),1337
(129.24068129434656, 28.099187692532624),69
(7.41494793282226, 53.72600456379873),1337
(-73.94924131153319, -44.42217998775075),420
(-90.44639383324089, 29.243077343300765),69
(-100.1061228997879, 68.32774003258285),0
(170.24138523498738, 9.453925447980144),0
(127.67723907493495, 26.135289997153077),420
(152.10400190895243, -10.398187007093755),0
(39.82693630278744, -5.215661361964448),1337
(98.52588273465445, 11.06304874633843),69
(10.836264348065445, 64.92046142667687),0
(-77.72222059915718, 77.8135462974596),0
(4.37616127936954, -70.41565941599725),69
(-7.7148539143110995, 41.64972552423653),69
(33.861765399243424, 34.953569631517674),0
(124.22556959292922, 24.361671701961264),1337
(-128.93211297712622, 53.22509492736311),0
(-25.16385018437319, 36.96974318285757),420
(167.1045439140062, -14.934074118965142),0
(-61.660608120296494, 56.35919417858923),420
(128.58012777647886, 34.84804833265052),0
(23.96028659064283, 58.1501621573358),69
(127.34071809244746, -1.4162593375259318),69
(-39.5402747259557, 65.32525558166897),69
(-179.08254699477254, 51.24654048929666),0
(-5.6689556808248405, -15.982053819992744),69
(105.64610616806091, -10.489385967586584),1337
(119.99747471727196, 5.139343006065723),1337
(114.24192002574644, 22.038494375005126),69
(25.422131204092384, 61.04109676956746),420
(103.09579610973843, 0.7460941923420726),0
(-89.40959037545653, 76.44235359399974),0
(-77.88978254923543, 56.31694554352658),69
(-76.62606039138703, 56.63385878229257),69
(13.419890416938925, 40.79279266399226),1337
(6.4903749771783215, 53.545983878978035),420
(91.50023089502369, 22.433599290236696),69
(-110.576858040114, 72.6006005688245),1337
(-86.73342502755722, 21.242217537891772),420
(-133.57210145381475, 55.717884271854494),1337
(124.53137760530733, -8.278893845932936),0
(6.313888294461938, -70.14996027150534),420
(106.46881691289944, -2.932722641620441),420
(119.8326318912944, 11.453024156481511),1337
(-83.73088364207436, 11.899602973569),69
(-140.13720736901033, -15.959295570500482),69
(-94.80469178567282, 75.95135238335553),1337
(119.09144096848588, -8.147610627444104),420
(14.837004430307308, 44.14545801295178),69
(179.77023554342978, -19.136531192626716),69
(7.597396136014786, 63.04222953923066),0
(31.550627890256248, -8.847123904317748),69
(-75.4504226558281, -48.736953713657066),1337
(7.930647375273871, 54.19011572828764),1337
(-178.22403213859118, -19.82567186157085),420
(-130.7640134473229, 54.6056455879413),420
(-78.49834870056375, 60.764623703834296),69
(18.90717422719102, 59.40022114882625),420
(42.08543358803259, 16.69974539214612),69
(73.55021505528319, 2.889892944480529),1337
(-1.1001933695784836, 60.11605161093057),69
(22.592921180402907, 65.60359856620558),1337
(-1.224377068526619, 50.618823119518176),0
(90.34685491437578, 21.917105608272173),0
(167.17425021698628, -9.872298429499184),1337
(-114.45651994635861, 68.89332055765472),69
(8.359058661654595, 54.71396486873827),1337
(-61.79344594496945, 17.673216191615317),69
(-151.82116410994377, 59.151268424624504),0
(-73.83025974402278, -53.48758325322215),0
(-89.30876508889745, 29.93222676188802),69
(9.481142274379653, 42.6209430042036),1337
(124.22245543009181, 39.8046990869125),0
(132.73084884160477, 34.19489768910033),1337
(-122.6931576041846, 48.56539659838536),0
(-57.35038898963128, -64.51216389188697),1337
(-75.81841081687017, 22.37067331798588),1337
(-89.49244668299517, 29.78461686960169),69
(58.68287686282847, 20.19665430585337),0
(52.74322047745202, -6.997884560126875),1337
(73.26780756237216, 6.153231596955515),0
(73.57940177310644, 2.9547964752250304),69
(-79.0983637187186, 8.397615162818015),69
(-170.1060112745169, 52.88332113062094),1337
(157.59211863447564, -8.101849691379998),69
(26.416846808736974, -70.2579051862939),420
(128.3792974081065, 2.4288385702524935),1337
(167.2247520550988, -15.702013054233486),69
(-148.25626699856593, -15.852963512429254),69
(-75.46683798260632, -49.10921637780638),0
(47.30447139558271, -11.567229402718912),420
(-74.19006060527026, 40.513162767028604),69
(40.35137050730913, -22.356964773531494),1337
(-66.96641847763506, -66.27449130935757),0
(21.330579823580507, 63.2990298780465),0
(121.0513949391158, 10.822121697891742),420
(-63.913648342837696, 50.2461264532977),69
(-75.11317912132837, 23.81754872553536),0
(125.45666749062238, -1.8289394913429464),0
(-50.4768480638809, 0.1411807915361078),420
(130.0138009574733, -6.316012179136228),69
(18.909845522712608, 59.39204148831709),1337
(-122.93581247083179, 73.54697427889599),1337
(-65.06629085776774, 64.28474682979225),1337
(177.4563711952451, -16.82806764555917),0
(50.61096926895628, 25.954071826517094),0
(-43.77387456918177, -2.432530912710981),1337
(125.18206485617436, 24.830208063582266),0
(170.8465389083315, 8.894332206295255),420
(98.48332678358526, 11.716933326222563),69
(-41.381665917578864, 63.16537589188111),0
(82.76931674866435, 29.45649050191395),0
(130.26616425059328, -11.707666113006812),1337
(165.54893345739137, 11.628119168232264),1337
(145.9139016424158, -4.5973217214871545),1337
(-47.177738822806035, 60.82134678085454),0
(-81.23443770043522, 31.5146434051025),0
(-86.83087599594326, 30.383039805276667),1337
(-78.44925613003767, 69.63075103626035),1337
(100.26348330198101, 5.467468847823428),69
(179.35159172269556, -18.071896567874443),69
(-62.64859141733899, -64.68801249176742),1337
(-50.500954434575995, 2.1161764413470334),0
(134.6210768857441, 7.529018929386424),420
(126.7504619428815, 26.353978327780283),69
(-74.72789346288003, -43.65557137505654),1337
(14.8211110520631, 44.15765617271872),69
(55.38167237971569, -5.864235154981792),69
(24.171900033226773, 80.49530498807414),0
(141.31298529757592, 24.7890497982726),1337
(-0.8431577415849976, 60.69572633383824),69
(-97.47835732410678, 73.64963593537128),0
(-73.99364495515952, -44.816387621023864),0
(-174.33362353104994, -19.81995708540889),420
(125.10537545046995, 34.087576060853756),0
(6.219793488051509, 62.43143704260408),0
(-116.79960431252731, 70.49168054436369),1337
(-147.8561144714189, 60.03351640450851),0
(53.338256626043, -5.431867800124195),1337
(90.47212529602812, 23.037423877184217),1337
(126.64873062013868, 34.18870986612363),420
(156.56523070455086, -8.102552142906575),0
(73.36800135837076, 1.7847505836452313),69
(-78.85578573052562, 8.378655917748397),0
(179.92263906312584, -16.645617587893184),0
(-131.23703849916458, -74.42131024495895),1337
(-169.21411322463968, 63.25270669436553),69
(-79.65534858669112, 69.74290363497127),0
(-170.99355062902322, 63.434062500287055),1337
(-74.11919878862594, 68.33245530150057),0
(-73.1113257749398, 18.81961471000615),420
(157.0659290696775, -8.19974793697195),420
(-77.87956043506993, 25.415241258335854),0
(-74.37093339174346, -51.34122753662124),420
(97.39489193777592, -66.40366689778358),69
(-64.20321836455194, 11.053487809809708),69
(-6.699034102143753, 62.28993754742923),69
(-77.8549304120417, 25.74302151179808),1337
(-60.85585277083007, 55.88376515347324),0
(-52.258403824851534, 68.6066619463516),420
(-78.78747606482247, 56.66376580466841),69
(-73.98962636135866, -44.212218300867114),69
(-126.87552323733378, 50.63602234314444),0
(152.4874129508889, -4.158418201704992),69
(-156.8644189115491, 20.830742774684538),1337
(150.27004587333158, -2.629398033361231),420
(16.132835426919492, 68.43810146394132),0
(-62.40887320142095, 9.97562447691559),69
(24.66286362551411, 36.76037086583986),1337
(-58.426199797787774, -52.00290298154564),0
(152.55535008878994, -3.122947238821559),69
(24.236308567941386, 80.47786696128745),0
(-112.14775581672261, 25.202394892009842),1337
(30.27452094350803, 79.00447157060984),0
(73.20854532160828, 6.91463015707858),0
(9.466517626228217, 42.63463288681051),0
(9.380234589475249, 0.8093713632954269),420
(103.38049645367245, 1.0531923278156161),1337
(-71.37111753115028, 41.54518034122483),69
(126.11506980102486, 35.11607012393429),0
(-78.2531991894428, 24.725151554700368),69
(-67.66967273448951, -67.32038857219429),1337
(154.24117419248572, -4.513433312291622),1337
(22.105986806143996, 78.51546318623583),0
(152.78992991554426, -10.686327571361987),69
(-89.18416097913746, 29.476222699965778),1337
(21.01941940757297, 70.03856534331818),0
(-75.20806425896205, -51.49025568667137),1337
(72.9510404685017, 6.346070063411662),0
(18.83259539396214, 42.74618844318967),420
(-86.71715227450363, 21.21081516614407),0
(-117.22768157968217, 70.56358495309891),420
(14.79885449067852, 44.3994821784684),420
(25.92250209617838, 36.84573220172028),420
(17.318685627658333, 47.44410828959123),420
(-163.17465223723073, 55.4244253382557),1337
(-110.66449430263559, 68.5659619001524),69
(-52.29677538131001, 82.06624952205645),0
(20.684368806612348, 37.835011252528105),69
(-57.615551086757655, -64.4483439425318),69
(126.68402563636108, 3.8801776666237964),69
(9.526493374854867, 47.16507340850128),420
(73.58231998648618, 2.9584465480100546),0
(161.53940953489266, -9.641540345405623),1337
(125.29113440383969, 9.96429011841727),69
(113.26192405113396, 21.891133941291738),1337
(-18.94593776156142, 81.91240171736047),420
(-136.1734267180048, -22.028128721444126),420
(153.1877841229988, -11.240273995659983),420
(141.29300788498983, 24.75553266260603),1337
(-25.105484900604758, 36.95383001402469),420
(-6.667994730204012, 62.36169574571808),0
(-6.3510970909530435, 56.94693006005396),420
(-74.8282735875457, -70.76369065869977),1337
(-8.528460632231196, 54.973361291093134),1337
(7.447671783090082, 63.00846124458178),0
(133.02326718932795, 36.0187530977593),420
(-50.385450927424436, 0.4606087503494403),1337
(45.18964685394324, 40.97619502621486),1337
(-87.70996074525722, 13.185163562840955),1337
(23.685341755501476, 65.72688511758038),0
(-2.4063811286723404, 59.31407123934959),69
(-68.92730467809938, 44.257837705309846),0
(-73.56622600386707, 45.6083327920619),69
(-44.96524037957522, -1.389091665132459),69
(-62.04754550375852, -64.64888931507504),420
(15.722202222582204, 41.45289576566933),69
(176.1350077062177, -5.688128428620534),1337
(-72.02859084034749, 70.90889639431738),1337
(69.27132004975022, -49.00006219288468),0
(125.28173297454764, 37.729405126680895),0
(-64.40122726661802, 18.491867636022906),1337
(-141.45283813800177, -17.349665612939422),420
(-96.26383594111772, 75.63705060554172),420
(-114.75838762897114, 18.350177183737625),1337
(-122.40223910474215, 48.019766949388426),1337
(95.13959612737196, 5.610437878779302),420
(148.8897524979268, -20.128323151240227),69
(157.16156941291567, 5.778385639058323),1337
(-178.95000437114794, 51.3831686102844),420
(150.8451914022728, -10.556039144632951),0
(-67.00985075909847, 44.916643522439955),1337
(-179.8281155328525, -18.931200630965964),0
(120.03467558181956, 23.453683863840556),420
(107.47727254896844, 20.82546146445175),420
(-96.88954073291409, 28.05452753215787),420
(8.627020083925217, 54.524389056998984),0
(20.737786532029723, 80.65354840375822),0
(72.79468198607942, 3.5147376876439966),1337
(-89.27821795747154, 29.971333951913504),420
(-67.0943405024589, -55.82398226667658),1337
(-38.06269818893319, -53.99349293258675),69
(72.97678393128535, 4.894256262842435),0
(20.868228176426854, 63.6745652643106),1337
(-131.52711653817025, 52.71302285979922),1337
(-44.556355962908775, 59.98593212885185),0
(93.09957624026472, 8.291415877630529),420
(166.6083318490103, -48.02875899922693),0
(-61.08950319800186, 56.62544878772837),69
(-66.46220027652232, -55.2118197105734),0
(168.45238023485808, -17.581548921468666),1337
(25.067180364386076, 37.039202420741056),1337
(-59.70482688701362, -51.97728958061215),69
(-57.233262218299856, 54.46208027378585),1337
(12.844083822917005, 66.4362843837727),0
(126.76404819602945, 26.373145517743648),1337
(25.760138028815504, 36.36798469995642),69
(-161.55884687308787, -81.54704456288843),69
(150.13900795144357, -2.58033958147135),0
(154.88697208050075, 3.7725336546905153),1337
(-51.18521237243754, 64.33032813276596),0
(72.91214125585954, 5.98138070465479),0
(49.922627637871265, -16.850610769491862),1337
(134.37571325399264, 7.221065705997885),69
(150.32623060405155, -21.75420142696877),420
(-75.58202009628465, 10.350461600612908),69
(-134.9835290879733, -23.115930548317106),420
(-165.9851720178317, 62.05719078486888),420
(-34.82851164422896, -7.748968447974187),420
(-43.295070240207366, 59.98961214079295),420
(73.44263604369146, 4.9733445200096265),69
(121.03924018069819, -66.80561515236714),69
(-24.740817595027192, 14.850807560117563),1337
(-178.96694220885183, -18.94018816928532),1337
(113.3477255110945, -8.451339346423472),0
(-74.88657999560334, -47.84742173107984),0
(141.0282072449623, 45.41549187467047),420
(73.60829896800193, 4.35744644978401),0
(20.308093756500085, 59.987442847343864),0
(-147.1445532271185, 60.88359453725666),69
(-83.60044602342292, 66.11479937926529),0
(-140.0580937752198, -9.35435128931311),1337
(73.0903998207635, 5.1589734125265805),1337
(121.47556014373096, 31.761108482640427),420
(117.24737147548021, 8.29701958847289),0
(128.7881497306352, -3.668847746866251),0
(7.9281938307677216, 54.191612360821225),1337
(-68.88718723559045, 44.372394301317335),69
(139.1155885839151, -16.8346752320549),0
(106.22630771396953, 3.1778377882811077),1337
(136.74649399846683, -15.66646849121482),0
(-74.22585247713859, -48.44647786264044),420
(98.60489447131073, 8.125947802350339),0
(135.70478754900276, -14.91108466682438),1337
(-79.51811300331548, 56.67447048939043),69
(56.54685019224213, -10.369963137714466),420
(-86.91993032121759, 15.685853081359536),69
(-147.5061613469842, -15.082907377565489),420
(-145.1973890396256, -15.921849200555219),69
(93.0872121285608, 8.2749371663107),0
(-124.65821826941348, 50.250377230080886),69
(111.6061017438775, 16.529141110553038),1337
(14.955936169526781, 38.50422550409457),420
(95.10104892138014, 5.70668191221437),0
(-2.3195895652424414, 46.70822530736142),1337
(92.69915919106666, 12.870898783497747),1337
(117.15544006696888, 7.284337259077336),0
(98.4453603116868, 10.981456489745327),0
(114.28293579538388, 11.047479001978498),1337
(-60.73087198716985, 55.90100949364319),1337
(-77.85137485400652, 2.590491982494027),69
(25.991493994833288, 38.166330194775526),69
(-67.92335139546631, 18.10648838359529),1337
(-110.3706440532786, 24.48576180431723),420
(-18.037186096819575, 78.76009869559248),0
(-118.23972121496142, 33.757971665756166),0
(11.228167037747175, 64.64042628076221),0
(-120.40330661513218, 34.03562323218398),420
(123.05243372539591, 13.637714660615039),1337
(-81.41711937067892, 24.652645386683307),420
(12.510434396023745, 65.92141231513835),0
(-7.399447362848675, 57.371696918755475),1337
(73.39104123736097, 5.964240472596507),0
(139.15060254551634, -16.82163155380543),420
(73.69923528706614, 4.4321402176806215),0
(-110.64181149753674, 68.52936436200747),0
(73.01197412675181, 2.9481809699946306),420
(-43.819744738193734, -2.496327955517078),0
(73.64205748976937, 10.091298639595747),69
(142.65588604562674, -9.400795243791599),0
(8.717399318598614, 56.82813960983922),1337
(121.70621329544902, -0.4607975465926407),0
(-74.57948457485428, -52.357692843978896),1337
(88.07002019186196, 21.748119650740676),0
(-79.60639569367456, 52.56736735120752),0
(97.86301102265004, 12.79215447496601),1337
(126.12953609178895, 35.0843289309184),1337
(-73.79470704452946, -53.48703926630158),69
(-89.43458377318856, 30.13755006445212),69
(-174.3192004387136, -19.766489754852202),420
(99.6986325724362, 9.536594105214924),420
(-57.240441000007245, 54.47209126009145),69
(-142.49440950105074, -16.036519296396804),1337
(-73.92202334861662, -45.91340579167095),420
(32.84464494021822, 80.18443591251503),0
(154.12091535929486, -11.321627591665337),0
(152.64013622899918, -10.647758523935204),1337
(-74.60557078152024, -50.539388472083424),420
(-134.2499040141286, 56.36158184149776),0
(-85.19560716589704, 15.67017765787318),69
(-82.35930063170794, 8.093780724250156),0
(-87.62281102487667, 13.269765555112837),0
(-162.3905807438434, 6.435169129843688),0
(73.04310312184096, 6.62204620729985),0
(73.12612014540014, 6.28515763932598),1337
(-54.801066855590975, 47.26190619442447),69
(-48.01755773785762, 60.73413074513184),420
(126.6511636927619, 33.35013896377848),420
(124.31745810735984, -1.9901102034022897),420
(98.2600578635656, 11.934472209665934),420
(-18.761018483527206, 76.43163455421202),0
(90.94708028730633, 22.684958061590297),420
(119.96804633951272, 8.891115207410119),420
(178.38013674054278, -8.06060645201919),69
(101.27442094501708, 2.996347313899585),1337
(-139.19856584605097, -19.350711000758324),1337
(-95.66616333341817, 63.981257054761414),1337
(18.717839623179696, 59.329863053263004),69
(114.45571572711484, 10.395073854725998),1337
(-61.265684430157854, 15.316438270439118),1337
(123.48523779803504, -8.480609967629752),420
(-80.63499335637646, 24.92007827394452),69
(121.57455156937908, -0.17538288893347823),420
(-12.859332596730573, 7.591079291509721),420
(132.55227701588058, 32.73104518612611),69
